 Россия, 43807
 Министерство экономического развития РФ (Минэкономразвития России), 2669
 Куба, 72
 Москва, 2711
 Дмитрий Медведев, 5631
 Центральный Банк РФ (ЦБ РФ), 9016
 Олег Дерипаска, 183
 Европа, 1430
 США, 5337
 Максим Решетников, 134
 Массандра (концерн), 30
 Россия (банк), 128
 Госдума РФ, 3177
 Единая Россия, 379
 Владимир Путин, 9931
 Технологии, 761
 Михаил Мишустин, 1120
 Федеральная налоговая служба (ФНС России), 362
 Сказано в эфире, 721
 Подкасты – Радио Sputnik, 187
 Стин Якобсен, 12
 Наталия Орлова, 5
 Saxo Bank, 20
 Альфа-банк, 186
 Рубль, 168
 Владимир Ефимов (политик), 99
 Динамика курсов валют, 888
 Распространение коронавируса, 3063
 Коронавирус в России, 2895
 Коронавирус COVID-19, 3448
 Дмитрий Патрушев, 111
 Министерство сельского хозяйства РФ (Минсельхоз России), 1069
 Дмитрий Песков, 1115
 https://ria.ru/20201214/benzin-1589101120.html, 1
 https://ria.ru/20201214/gospodderzhka-1589098543.html, 1
 https://ria.ru/20201214/tseny-1589097297.html, 1
 Сбербанк России, 2857
 Московская биржа, 4031
 ВТБ, 1678
 Антон Алиханов, 25
 Калининградская область, 130
 Максим Сурайкин, 2
 Коммунисты России, 3
 Северная Ирландия, 1
 Евросоюз, 4056
 Исландия, 15
 Норвегия, 195
 Telegram (приложение), 27
 Продукты, 34
 Стокгольмский арбитраж, 4
 ВЭБ, 803
 Игорь Краснов, 11
 Проминвестбанк, 25
 Игорь Коломойский, 65
 Гаага, 11
 Стокгольм (город), 26
 Украина, 2548
 Валерий Вайсберг, 24
 Министерство промышленности и торговли РФ (Минпромторг России), 1046
 Министерство финансов РФ (Минфин России), 3337
 Ханты-Мансийский Автономный Округ, 57
 Ханты-Мансийский автономный округ, 77
 Лянтор, 2
 Сургут, 18
 Британские Виргинские острова, 9
 Правительство РФ, 3953
 Общество, 969
 https://ria.ru/20201214/aktsii-1589044088.html, 1
 БКС Мир инвестиций, 3
 Весь мир, 164
 Цены, 101
 Еда, 25
 Сергей Беляков, 21
 Красная икра, 4
 Рыбная ассоциация, 7
 Новый год, 10
 Федеральное агентство по рыболовству (Росрыболовство), 162
 Северный поток — 2, 1449
 https://ria.ru/20201212/ekonomika-1588897500.html, 1
 Ближний Восток, 65
 Китай, 2755
 https://ria.ru/20201212/gaz-1588887869.html, 1
 Nord Stream 2 AG, 104
 Балтийское море, 185
 Швеция, 99
 Финляндия, 138
 Федеральная служба по ветеринарному и фитосанитарному надзору (Россельхознадзор), 1079
 Федеральная таможенная служба (ФТС России), 450
 Белоруссия, 1392
 https://ria.ru/20201212/koronavirus-1588875582.html, 1
 Дания, 145
 Дмитрий Дорофеев, 2
 Игорь Юшков, 35
 Геза Андреас фон Гайр, 3
 В мире, 1022
 Герман Греф, 875
 Экономика, 692
 Федеральная служба государственной статистики (Росстат), 1181
 Федеральная антимонопольная служба (ФАС России), 1589
 https://radiosputnik.ria.ru/20201211/sevpotok-1588850710.html, 1
 Авторы, 419
 Газпром, 5785
 Вашингтон (город), 74
 Германия, 968
 Роснефть, 2725
 Allseas, 71
 Берлин (город), 83
 Дмитрий Махонин, 19
 Пермский край, 42
 Краснодарский край, 668
 Вениамин Кондратьев, 154
 Вакцина "Спутник V", 42
 Здоровье - Общество, 347
 Денис Мантуров, 840
 Павел Сорокин, 29
 Арктика, 217
 Министерство энергетики РФ (Минэнерго России), 1447
 Фонд "Общественное мнение", 13
 Ситуация с курсами валют и ценами на нефть, 1446
 Жилье, 794
 Евразийский экономический союз, 1073
 Ленинградская область, 341
 Р-фарм, 9
 Сергей Собянин, 269
 АвтоВАЗ, 471
 Самарская область, 91
 Тольятти, 44
 Азербайджан, 186
 Армения, 188
 Сергей Данкверт, 84
 Олег Тиньков, 52
 https://ria.ru/20201211/tinkov-1588720372.html, 1
 Цены на нефть, 1530
 Brent, 2279
 https://ria.ru/20201211/proekt-1588719883.html, 1
 Воронежская область, 161
 Владимир Нетесов, 11
 Воронежская областная Дума, 8
 Финтех, 9
 Рязанская область, 124
 Николай Любимов, 47
 Петрозаводск, 15
 Министерство строительства и жилищно-коммунального хозяйства РФ (Минстрой России), 346
 https://ria.ru/20201211/sakhalin-1588707140.html, 1
 Сахалин, 112
 РЖД, 1566
 Западная Сибирь, 5
 ОПЕК, 2612
 Юрий Трутнев, 423
 Дальний Восток, 423
 https://ria.ru/20201211/nalog-1588696356.html, 1
 https://ria.ru/20201210/valyuty-1588683068.html, 1
 Великобритания, 532
 WTI (нефть), 635
 Андрей Белоусов, 522
 Республика Татарстан, 146
 Буинский район, 1
 Республика Татарстан (Татарстан), 239
 Лаишевский район, 1
 Казань, 92
 Новости Подмосковья, 270
 Московская область (Подмосковье), 446
 Елена Бибикова, 1
 НП "ГЛОНАСС", 2
 Дмитрий Азаров, 23
 Иннопрактика, 7
 Высшая школа экономики (ВШЭ), 57
 Бизнес, 90
 https://ria.ru/20201210/biznes-1588616635.html, 1
 Нижегородская область, 277
 Глеб Никитин, 106
 Марат Хуснуллин, 177
 Виктория Абрамченко, 48
 https://ria.ru/20201210/produktsiya-1588582311.html, 1
 Парламентское Собрание Союза Беларуси и России, 104
 https://ria.ru/20201210/gaz-1588581043.html, 1
 Алексей Миллер, 1065
 Волжский, 4
 Сызранский район, 1
 https://ria.ru/20201210/produkty-1588580755.html, 1
 Владимир Комлев, 18
 Южная Корея, 221
 Сеул, 21
 Дмитрий Григоренко, 6
 Татьяна Москалькова, 9
 Атомный ледокол "Лидер", 2
 Рустам Минниханов, 186
 Турция, 532
 Нидерланды, 89
 https://radiosputnik.ria.ru/20201210/qiwi-1588554420.html, 1
 Qiwi, 31
 Ltd., 33
 Санкции в отношении России, 160
 Дюссельдорф, 4
 Южно-Сахалинск, 26
 Ульяновская область, 63
 Сахалинская область, 41
 Дальневосточный федеральный университет, 28
 Русский (остров), 5
 Владивосток, 367
 Росток, 2
 Счетная палата РФ, 468
 Кашкадарьинская область, 4
 Аргентина, 125
 Узбекистан, 95
 Измир, 8
 Российский экспортный центр (РЭЦ), 73
 АО "Российский экспортный центр", 10
 Фонд "Росконгресс", 40
 Российский экспортный центр, 54
 Удмуртская Республика, 46
 Александр Бречалов, 81
 Удмуртская Республика (Удмуртия), 69
 Италия, 274
 Ижевск, 21
 Форум "Сделано в России", 16
 Сергей Левин, 15
 Вероника Никишина, 18
 https://ria.ru/20201209/ekonomiya-1588489683.html, 1
 Коронавирусы, 705
 Александр Беглов, 22
 Великий Новгород, 16
 СНГ, 421
 ШОС, 151
 Пятерочка (сеть магазинов), 43
 Ашан, 60
 X5 Retail Group, 83
 Ассоциация "Теплицы России", 2
 Алексей Ситников, 3
 Руслан Давыдов, 6
 https://ria.ru/20201209/putin-1588459663.html, 1
 https://ria.ru/20201209/kapital-1588445290.html, 1
 Министерство иностранных дел Российской Федерации (МИД РФ), 365
 Сергей Рябков, 55
 https://ria.ru/20201209/neft-1588435518.html, 1
 Александр Новак, 2806
 Антон Силуанов, 2466
 Алтайский край, 211
 Виктор Томенко, 13
 ключевая ставка, 22
 Эльвира Набиуллина, 1692
 Анатолий Аксаков, 215
 Владимир Викулов, 1
 Совет Федерации РФ, 1150
 Анатолий Артамонов, 46
 Олег Белозеров, 132
 Федеральная служба по регулированию алкогольного рынка (Росалкогольрегулирование), 72
 https://ria.ru/20201209/biznes-1588406095.html, 1
 Фонд национального благосостояния России, 114
 Национальный союз производителей овощей, 3
 Райнер Зеле, 32
 OMV, 99
 https://ria.ru/20201209/rosselkhoznadzor-1588398252.html, 1
 Импорт, 5
 Сургутский район, 15
 Санкт-Петербург, 497
 НДФЛ, 11
 НДС, 7
 Навоийская область, 1
 Анталья (провинция), 18
 Российский союз промышленников и предпринимателей, 218
 МИД Азербайджана, 1
 Баку, 12
 Хатай (провинция), 1
 https://ria.ru/20201209/ekonomika-1588357349.html, 1
 Молдавия, 149
 Иртыш (река), 1
 Наталья Комарова, 73
 Обь, 6
 Африка, 117
 Азия, 305
 Эйдос-Медицина, 1
 Объединенная двигателестроительная корпорация, 64
 Илон Маск, 61
 S&P 500, 63
 Tesla motors, 81
 Арно, 3
 Microsoft Corporation, 136
 Forbes, 148
 SpaceX, 23
 Билл Гейтс, 47
 Марк Цукерберг, 50
 Карское море, 13
 Александр Бастрыкин, 25
 ООН, 123
 Кирилл Кабанов, 3
 Национальный антикоррупционный комитет, 8
 Роскачество, 94
 Москва Сегодня: мегаполис для жизни, 129
 Алексей Фурсин ( глава Департамента предпринимательства и инновационного развития (ДПИР), 33
 Республика Бурятия, 58
 Ростелеком, 306
 Государственная корпорация по атомной энергии "Росатом", 382
 Тула, 20
 Кострома, 8
 Кипр, 270
 Люксембург (государство), 45
 ЛСР, 21
 Концерн ПВО "Алмаз-Антей", 30
 Максим Акимов, 121
 https://ria.ru/20201208/kuban-1588266489.html, 1
 Сергей Швецов, 98
 Пенсии, 30
 Пенсионный фонд РФ, 304
 Федеральная служба по надзору в сфере транспорта (Ространснадзор), 19
 Обязательное медицинское страхование, 9
 Федеральный фонд обязательного медицинского страхования РФ, 45
 Фонд социального страхования РФ, 35
 https://ria.ru/20201208/kredit-1588221052.html, 1
 Александр Ремезков, 11
 Андрей Макаров, 132
 Вячеслав Володин, 146
 Валентина Матвиенко, 355
 Евразийская экономическая комиссия, 246
 Республика Мордовия, 70
 Артем Здунов, 6
 Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор), 619
 Виктор Бирюков, 2
 Nasdaq, 404
 Стэнфордский университет, 1
 Новый год—2021, 1
 Станислав Кузнецов, 27
 Билайн, 77
 Мегафон, 242
 МТС, 273
 Фонд национальной энергетической безопасности, 19
 Польша, 464
 Superjob, 14
 Уфа, 70
 Челябинск, 43
